2026-02-25 23:55:39,923 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fff68118e10>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-25 23:55:41,935 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fff6810d940>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-25 23:55:41,949 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fff6810e190>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-25 23:55:41,965 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fff680c69f0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-25 23:55:43,980 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fff68144380>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-25 23:55:43,995 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fff68144af0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-25 23:55:44,009 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fff68144d10>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:14:56,788 | INFO | WildPulse Pi Agent Starting...
2026-02-26 01:14:56,801 | INFO | Motion sensor initialized on GPIO 17
2026-02-26 01:14:56,801 | INFO | Orchestrator initialized
2026-02-26 01:14:56,802 | INFO | Starting upload worker thread...
2026-02-26 01:14:56,802 | INFO | System armed. Waiting for motion...
2026-02-26 01:14:56,802 | INFO | Waiting for motion...
2026-02-26 01:14:56,806 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee47b78c0>: Failed to establish a new connection: [Errno 111] Connection refused'))
